"Title","Description","Team","Project","Milestone","Labels","Priority","State","Blocked By"
"Verify Linear workspace scope before seeding","Prevent VisuLive work from being created in the wrong Linear workspace.

Owner lane: Linear Ops.

Acceptance:
- Linear reads visibly target `https://linear.app/visulive`, not `https://linear.app/learning-capture-pipeline`.
- Team is `VisuLive` with key `VIS`.
- Existing projects and issues are checked for duplicates before any writes.
- If OAuth is scoped to the wrong workspace, reconnect Linear before seeding.","VisuLive","Proof Backbone & Clean Workspace","Clean Source Boundary","linear-ops","Urgent","Done",""
"Clean artifact boundaries and ignored generated evidence","Generated evidence and heavy release outputs must not dirty source Git while lightweight provenance stays trackable.

Owner lane: Evidence / Capture / Analyzer.

Acceptance:
- Generated SQLite catalogs and run payloads do not dirty Git.
- Heavy v1 preserved artifacts stay out of source Git.
- Lightweight release records, checksums, manifests, and docs remain trackable.
- `git status --short` is clean after proof/report commands.","VisuLive","Proof Backbone & Clean Workspace","Clean Source Boundary","artifact-policy, evidence","High","Done",""
"Commit structured proof-ready workspace stack","Convert accumulated local work into a clean, reviewable commit stack before fresh serious proof.

Owner lane: Repo Operations.

Acceptance:
- Dirty workspace is converted into focused commits.
- `git status --short` is empty.
- `npm run proof:preflight` passes without `--allow-dirty`.
- Checkpoint records commit stack and next proof steps.

Status note:
- Current clean local proof-ops commit is `581571e Set up VisuLive proof operating loop`.","VisuLive","Proof Backbone & Clean Workspace","Clean Source Boundary","linear-ops, docs","High","Done",""
"Close release/proof gate findings","Release verification must not pass when proof gates fail.

Owner lane: Release / Evidence.

Acceptance:
- `release:verify` requires current benchmark truth and strict proof-pack gates.
- `npm run benchmark:validate -- --require-current` fails until active/current-canonical benchmark exists.
- `npm run proof-pack -- --limit 1 --strict` fails until a current-proof-eligible run exists.
- `npm run release:verify` fails until strict proof and benchmark gates pass.","VisuLive","Proof Backbone & Clean Workspace","Review Finding Closure","proof-gate, release","Urgent","Done",""
"Close run journal/build identity findings","Serious proof must reject weak, dirty, or unknown build identity and must not serialize false screenshot references.

Owner lane: Evidence / Operator UX.

Acceptance:
- Serious proof rejects dev, unverified, dirty, unknown, or invalid build identity.
- Run metadata uses the shared build identity validator.
- Checkpoint still references are registered only after successful save.
- Save failure invalidates the proof run with explicit reasons.","VisuLive","Proof Backbone & Clean Workspace","Review Finding Closure","proof-gate, evidence, operator-ux","Urgent","Done",""
"Close run package/catalog/analyzer findings","Run packages and evidence query tooling must be safe and chronologically honest.

Owner lane: Evidence / Capture / Analyzer.

Acceptance:
- Run package promotion refuses overwrites.
- Recommendation gates can pass, warn, or fail.
- `after-commit` evidence queries use commit/build timestamps, not lexicographic hash comparison.
- Catalog can answer recent failure pattern queries without misleading ordering.","VisuLive","Proof Backbone & Clean Workspace","Review Finding Closure","evidence","High","Done",""
"Close runtime/docs anthology truth findings","Machine-readable and prose canon must match current runtime ownership.

Owner lane: Runtime / Docs.

Acceptance:
- Machine-readable anthology catalog reflects HeroSystem owned lifecycle status.
- AGENTS and deployment docs match current runtime and release-gate truth.
- Future agents are directed toward PostSystem and proof-led governance, not stale facade assumptions.","VisuLive","Proof Backbone & Clean Workspace","Review Finding Closure","runtime, docs","High","Done",""
"Run primary-benchmark proof canary","Run a short proof canary before spending operator time on a full no-touch benchmark.

Owner lane: Operator / Evidence.

Acceptance:
- Run uses `npm run dev:proof`.
- Scenario is `Primary benchmark`.
- Source is PC Audio.
- Duration is 60-90 seconds.
- Run package includes journal, manifest, clips, stills, selected scenario, active no-touch tracking, and zero invalidations.
- Canary is archived or reviewed before the full benchmark run starts.

Current repo truth:
- Local commit: `581571e Set up VisuLive proof operating loop`.
- `npm run proof:preflight` passes.
- `captures/inbox/runs` is empty.
- The invalid April 28 run is archived and must be used only as debugging evidence.","VisuLive","Proof Backbone & Clean Workspace","Fresh Serious Proof","proof-gate, evidence, operator-ux","Urgent","In Progress",""
"Collect clean primary-benchmark proof","Collect the first serious current authority-validation run on the hardened backbone after the proof canary succeeds.

Owner lane: Operator / Evidence.

Acceptance:
- Run uses `npm run dev:proof`.
- Scenario is `Primary benchmark`.
- Source is PC Audio.
- Duration is 6-8 minutes.
- Run is no-touch, current-proof-eligible, screenshot-backed, and reviewed.
- `npm run proof:current`, `npm run evidence:index`, and `npm run run:review -- --run-id <runId>` complete.
- `authority split validation` and `primary authority proof` gates pass before governance is treated as stable.

Dependency:
- Blocked by `Run primary-benchmark proof canary` because the canary must prove write/journal/still/no-touch reliability before a full benchmark run.","VisuLive","Proof Backbone & Clean Workspace","Fresh Serious Proof","proof-gate, evidence","Urgent","Blocked","Run primary-benchmark proof canary"
"Collect clean operator-trust proof","Collect proof that a normal operator can arm and run the show without hidden manual intervention.

Owner lane: Operator UX / Evidence.

Acceptance:
- Scenario is `Operator trust`.
- Duration is 6-8 minutes.
- Operator-trust scenario clears no-touch and intervention requirements.
- Run package is reviewed and promoted or archived as a whole package.
- Any invalidation reason produces actionable operator recovery guidance.

Dependency:
- Blocked by `Collect clean primary-benchmark proof` because operator trust should run only after the primary proof path is proven valid.","VisuLive","Proof Backbone & Clean Workspace","Fresh Serious Proof","proof-gate, operator-ux, evidence","High","Blocked","Collect clean primary-benchmark proof"
"Review proof recommendations and decide governance follow-up","Use fresh recommendation JSON and review notes to choose the next narrow correction.

Owner lane: Governance / Evidence.

Acceptance:
- Recommendation JSON is reviewed.
- Overbright, ring persistence, chamber presence, and world takeover outcomes determine the next correction.
- If proof is weak, next pass is AuthorityGovernor, LightingSystem, and ParticleSystem only.
- If proof is strong, move to PostSystem readiness.

Dependency:
- Blocked by `Collect clean primary-benchmark proof` and `Collect clean operator-trust proof` because governance correction must be evidence-led from valid runs, not stale or invalid captures.","VisuLive","Proof Backbone & Clean Workspace","Evidence-Led Next Development","governance, evidence","High","Blocked","Collect clean primary-benchmark proof, Collect clean operator-trust proof"
"Decide PostSystem readiness after authority proof","Decide whether the runtime is ready for the next structural extraction.

Owner lane: Runtime / Governance.

Acceptance:
- If authority proof holds, next structural target is `PostSystem`.
- If authority proof fails, perform one focused governance correction first.
- No capability-growth issue starts until this decision is recorded.

Dependency:
- Blocked by `Review proof recommendations and decide governance follow-up` because PostSystem readiness must follow proof recommendation review, not architecture momentum.","VisuLive","Proof Backbone & Clean Workspace","Evidence-Led Next Development","runtime, governance","Medium","Blocked","Review proof recommendations and decide governance follow-up"
